Tag,Name,Type,Contain,Description,Icon,Content,Placeholder,Cover Image
<h1>,Heading 1,Formatting,All,Heading,heading,Write Something,,
<h2>,Heading 2,Formatting,All,Heading,heading,Write Something,,
<h3>,Heading 3,Formatting,All,Heading,heading,Write Something,,
<h4>,Heading 4,Formatting,All,Heading,heading,Write Something,,
<h5>,Heading 5,Formatting,All,Heading,heading,Write Something,,
<h6>,Heading 6,Formatting,All,Heading,heading,Write Something,,
<p>,Paragraph,Formatting,All,Paragraph,paragraph,Write Something,,
<abbr>,Abbreviation,Formatting,All,Abbreviation or an acronym,,Write Something,,
<address>,Address,Formatting,All,Contact information,,Write Something,,
<b>,Bold,Formatting,All,Defines bold text,,Write Something,,
<bdi>,Bi-Directional Isolation,Formatting,All,Isolates a part of text that might be formatted in a different direction from other text outside it,,Write Something,,
<bdo>,Bi-Directional Override,Formatting,All,Overrides the current text direction,,Write Something,,
<blockquote>,Blockquote,Formatting,All,Defines a section that is quoted from another source,,Write Something,,
<cite>,Citation,Formatting,All,Defines the title of a work,,Write Something,,
<code>,Code,Formatting,All,Defines a piece of computer code,,Write Something,,
<del>,Delete,Formatting,All,Defines text that has been deleted from a document,,Write Something,,
<dfn>,Definition,Formatting,All,Represents the defining instance of a term,,Write Something,,
<em>,Emphasize,Formatting,All,Defines emphasized text,,Write Something,,
<i>,Italic,Formatting,All,Defines a part of text in an alternate voice or mood,,Write Something,,
<ins>,Insert,Formatting,All,Defines a text that has been inserted into a document,,Write Something,,
<kbd>,Keyboard,Formatting,All,Defines keyboard input,,Write Something,,
<mark>,Mark,Formatting,All,Defines marked/highlighted text,,Write Something,,
<pre>,Preformat,Formatting,All,Defines preformatted text,,Write Something,,
<q>,Quotation,Formatting,All,Defines a short quotation,,Write Something,,
<s>,Strikethrough,Formatting,All,Defines text that is no longer correct,,Write Something,,
<samp>,Sample,Formatting,All,Defines sample output from a computer program,,Write Something,,
<small>,Small,Formatting,All,Defines smaller text,,Write Something,,
<strong>,Strong,Formatting,All,Defines important text,,Write Something,,
<sub>,Subscript,Formatting,All,Defines subscripted text,,Write Something,,
<sup>,Superscript,Formatting,All,Defines superscripted text,,Write Something,,
<time>,Time,Formatting,All,Defines a date/time,,Write Something,,
<u>,Underline,Formatting,All,Defines text that should be stylistically different from normal text,,Write Something,,
<var>,Variable,Formatting,All,Defines a variable,,Write Something,,
<legend>,Legend,Forms and Input,All,Defines a caption for a <fieldset> element,,Write Something,,
<output>,Output,Forms and Input,All,Defines the result of a calculation,,Write Something,,
<caption>,Caption,Tables,All,Defines a table caption,,Write Something,,
<span>,Span,Styles and Semantics,All,Defines a section in a document,,Write Something,,
<template>,Template,Basic HTML,All,Defines a template,,,,
<form>,Form,Forms and Input,All,Defines an HTML form for user input,,,,
<optgroup>,Option Group,Forms and Input,None,Defines a group of related options in a drop-down list,,,,
<fieldset>,Field-set,Forms and Input,All,Groups related elements in a form,,,,
<datalist>,Data List,Forms and Input,All,Specifies a list of pre-defined options for input controls,,,,
<iframe>,Iframe,Frames,None,Defines an inline frame,,,,
<a>,Anchor,Links,All,Defines a hyperlink,,,,
<nav>,Navigation,Links,All,Defines navigation links,,,,
<ul>,Unordered List,Lists,<li>,Defines an unordered list,,,,
<ol>,Ordered List,Lists,<li>,Defines an ordered list,,,,
<li>,List Item,Lists,All,Defines a list item,,,,
<dl>,Description List,Lists,"<dd>, <dt>",Defines a description list,,,,
<dt>,Description Term Description,Lists,All,Defines a term/name in a description list,,,,
<dd>,Description Term,Lists,All,Defines a description of a term/name in a description list,,,,
<th>,Table Header Cell,Tables,All,Defines a header cell in a table,,,,
<tr>,Table Row,Tables,All,Defines a row in a table,,,,
<td>,Table Cell,Tables,All,Defines a cell in a table,,,,
<thead>,Table Header,Tables,All,Groups the header content in a table,,,,
<tbody>,Table Body,Tables,All,Groups the body content in a table,,,,
<tfoot>,Table Footer,Tables,All,Groups the footer content in a table,,,,
<col>,Column,Tables,None,Specifies column properties for each column within a <colgroup> element,,,,
<colgroup>,Column Group,Tables,<col>,Specifies a group of one or more columns in a table for formatting,,,,
<div>,Div,Styles and Semantics,All,Defines a section in a document,,,,
<header>,Header,Styles and Semantics,All,Defines a header for a document or section,,,,
<footer>,Footer,Styles and Semantics,All,Defines a footer for a document or section,,,,
<main>,Main,Styles and Semantics,All,Specifies the main content of a document,,,,
<section>,Section,Styles and Semantics,All,Defines a section in a document,,,,
<article>,Article,Styles and Semantics,All,Defines an article,,,,
<aside>,Aside,Styles and Semantics,All,Defines content aside from the page content,,,,
<details>,Details,Styles and Semantics,All,Defines additional details that the user can view or hide,,,,
<dialog>,Dialog,Styles and Semantics,All,Defines a dialog box or window,,,,
<summary>,Summary,Styles and Semantics,All,Defines a visible heading for a <details> element,,,,
<data>,Data,Styles and Semantics,All,Links the given content with a machine-readable translation,,,,
<!DOCTYPE>,Document Type,Basic HTML,None,Defines the document type,,,,
<!--...-->,Comment,Basic HTML,All,Defines a comment,,,,
<html>,HTML,Basic HTML,All,Defines an HTML document,,,,
<title>,Title,Basic HTML,All,Defines a title for the document,,,,
<body>,Body,Basic HTML,All,Defines the document's body,,,,
<br>,Line Break,Basic HTML,None,Inserts a single line break,,,,
<hr>,Horizontal Rule,Basic HTML,None,Defines a thematic change in the content,,,,
<select>,Select,Forms and Input,"<optgroup>, <option>",Defines a drop-down list,,,,
<option>,Option,Forms and Input,None,Defines an option in a drop-down list,,,,
<link>,Link,Links,None,Defines the relationship between a document and an external resource (most used to link to style sheets),,,,
<table>,Table,Tables,All,Defines a table,,,,
<style>,Style,Styles and Semantics,None,Defines style information for a document,,,,
<head>,Head,Meta Info,None,Defines information about the document,,,,
<meta>,Meta,Meta Info,None,Defines metadata about an HTML document,,,,
<base>,Base,Meta Info,None,Specifies the base URL/target for all relative URLs in a document,,,,
<script>,Script,Programming,None,Defines a client-side script,,,,
<noscript>,No Script,Programming,None,Defines an alternate content for users that do not support client-side scripts,,,,
<embed>,Embed,Programming,None,Defines a container for an external (non-HTML) application,,,,
<object>,Object,Programming,None,Defines an embedded object,,,,
<param>,Parameter,Programming,None,Defines a parameter for an object,,,,
<label>,Label,Forms and Input,All,Defines a label for an <input> element,,,"placeholder=""Write Something""",
<input>,Input,Forms and Input,None,Defines an input control,,,"placeholder=""Write Something""",
<textarea>,Text Area,Forms and Input,None,Defines a multiline input control (text area),,,"placeholder=""Write Something""",
<button>,Button,Forms and Input,All,Defines a clickable button,,,"placeholder=""Write Something""",
<figcaption>,Figure Caption,Formatting,None,Defines a caption for a <figure> element,,,"placeholder=""Write Something""",
<img>,Image,Images,None,Defines an image,,,,
<map>,Map,Images,<area>,Defines a client-side image-map,,,,
<area>,Area,Images,None,Defines an area inside an image-map,,,,
<canvas>,Canvas,Images,None,"Used to draw graphics, on the fly, via scripting (usually JavaScript)",,,,
<figure>,Figure,Images,None,Specifies self-contained content,,,,
<picture>,Picture,Images,None,Defines a container for multiple image resources,,,,
<svg>,SVG,Images,None,Defines a container for SVG graphics,,,,
<audio>,Audio,Audio / Video,<source>,Defines sound content,,,,
<source>,Source,Audio / Video,None,"Defines multiple media resources for media elements (<video>, <audio> and <picture>)",,,,
<track>,Track,Audio / Video,None,Defines text tracks for media elements (<video> and <audio>),,,,
<video>,Video,Audio / Video,"<source>, <tracks>",Defines a video or movie,,,,
<progress>,Progress,Formatting,All,Represents the progress of a task,,,,
<wbr>,Word Break Opportunity,Formatting,All,Defines a possible line-break,,,,
<meter>,Meter,Formatting,All,Defines a scalar measurement within a known range (a gauge),,,,